English Terms,中文术语,中文定义,
Translation Exposure,换算风险,业务牵涉外币或资产负债表中含有国外资产的公司承受的汇率风险,
Treasury Bill,短期国库券,美国政府发行的债务证券，期限少于一年。短期国库券通过竞标过程发售，价格相对面值有折扣，所以不会像大部分其他债券一般支付定额利息,
Treasury Bond,国库券,期限10年以上的可买卖定息美国政府债务证券,
Treasury Note,政府票据,期限1至10年的可买卖定息美国政府债务证券,
Treasury Offering,库存证券发行,一家公司利用库存证券发行新一级别的证券,
Treasury Stock,库存股,一家公司回购其普通股，并将股票储存于库房,
Trust,信托,一种委托关系，一名信托人代表受益人持有物业或资产的所有权,
Trustee,受托人,指为另外一名人士持有或管理资产的人士,
Trustor,委托人,指将资金或资产的委托责任转让给一名第三方信托人，该信托人将为受益人保管有关的资产,
Turnaround ,转亏为盈、市道转好,指一家公司、一个市场或经济体系在经济不景气后环境好转,
Unbundling,分拆收购,收购一家拥有多种业务线的大型公司，保留核心业务同时出售子公司，作为收购的部分资金来源,
Under Reporting,申报不足,指申报的应课税收入不足,
Underperform ,表现落后大市,研究分析员建议的一种，指一种股票的表现略差于市场回报率,
Undersubscribed,认购不足,一宗新证券发行的需求低于发行额,
Undervalued ,估值不足,一种股票或证券的市场价格低于估计的价值,
Underweight,持有量不足,指一个投资组合的持有量不足，不符合投资组合资产分配策略的基准投资量,
Underwriting Spread,承销价差,承销商收取公开发行价格与向发行公司支付的金额之间的差额,
Unearned Income,非劳动收入,来自投资及其他与雇佣无关的收入,
Unearned Revenue,未实现收入,指一名人士或一家公司对未完成服务或产品收取的收入,
Unit Trust (UT),单位信托,非注册共同基金结构，基金可持有资产及将利润转移到个人，而不是将收益再投资于基金,
Unrealized Gain,未实现收益,通过继续持有资产，而不将资产套现然后使用获得的资金所得的收益,
Unrealized Loss,未实现损失,通过继续持有资产，而不将资产套现然后使用获得的资金所得的损失,
Unsecured Creditor,无抵押债权人,无需财产作为抵押而向一家公司或个人借贷的人士或机构,
Unsecured Loan,无抵押贷款,用借贷人的信用作支持，而没有任何实质抵押的银行贷款,
U.S. Treasury,美国财政部,是负责发行所有国库债券、票据及短期国库券的政府部门,
Valuation,估值,评定一项资产当时价值的过程,
Value-Added,增值,在向消费者推出产品及服务前给与有关产品及服务的增值,
Value-Based Pricing,以价值为基础的定价,产品定价与需求紧密联系的定价策略,
Value Chain,价值链,业务如何取得原材料、通过不同的程序为原材料增值，然后将制成品出售给消费者的高层次的模型,
Value at Risk (VAR),风险价值,评估投资组合的损失高于特定定价的可能性的技巧,
Value Investing,价值投资,挑选买卖价格低于内在价值的投资方法。价值投资者一般选择价格对账面值比率或市盈率比市场平均低的股票,
Value Stock,价值股票,价值投资者认为估值过低的股票。这种股票的常见特点是高股息收益及价值相对账面比率低,
Vanilla Option,单纯期权,无特别或不常见条款的一般性期权,
Variable Cost,可变成本,随着公司活动或业务变动而变动的成本项目,
Variable Life Insurance Policy,可变寿险保单,寿险合约的一种，在受保人过世时向受益方提供财务补偿。补偿包括保险公司担保的一个金额以及根据一个独立账户的表现而定的额外金额，该独立账户一般投资于股票或其他收益较高的证券,
Vendor Financing,供应商融资,指一家公司向其客户提供贷款，使客户可以购买其产品。公司因此提高了营业额，但其实基本上是买入自己的产品,
Venture,创业项目,一般指一项有风险的初始项目或企业,
Venture Capital,创业资本,向具有巨大增长潜力的初始企业及小型业务提供的资金及资源,
Venture Capital Fund,创业基金,寻求对潜力强大小型或中型企业进行私人股本投资的投资者组成的创业基金,
Venture Capitalist,创业基金投资者,向初始项目提供资金，或支持有可能上市的小型公司的投资者,
Vertical Integration,纵向整合,指公司将业务扩展到同一生产方向的不同范畴,
Vertical Market,纵向市场,只能符合一个特定行业的要求的具针对性市场,
Vertical Merger,纵向合并,指为同一种制成品生产不同货品及服务的两家公司的合并,
Volume Of Trade,交易量、成交量,指一段期间一种证券或一个市场买卖股票或合约的数目,
Voting Right,投票权,指股东对公司企业政策以及董事会成员等事宜进行投票的权力,
Voting Shares,投票股票,指赋予股东对公司企业政策以及董事会成员等事宜进行投票的权力的股份,
Voting Trust,投票信托,通过把法定所有权及投票权在一段指定期间转交一名指定信托人，从而集合一组股东的投票权的合法信托安排,
Voting Trust Agreement,投票信托协议,详细列明投票信托细节的协议，条款包括信托人名称、有效期限、以及组成的性质等,
Vulture Fund,兀鹫基金,指投资于有经济困难投资的基金，例如违约或接近违约的高收益债券、破产或接近破产的股票,
WACC,加权平均资本成本,按资本类别的比例计算公司资本成本的方法。加权平均资本成本的计算方法包含所有资金来源，包括普通股、优先股、债券及所有长期债务。公式：WACC=(E/V）×Re+（D/V）×Rd×(1-Tc)，其中，Re = 股本成本，是投资者的必要收益率；Rd = 债务成本，E = 公司股本的市场价值；D = 公司债务的市场价值；V = E + D 是企业的市场价值；E/V = 股本占融资总额的百分比，资本化比率；D/V = 债务占融资总额的百分比，资产负债率。Tc = 企业税率。,
WTO,世界贸易组织,负责处理全球国际贸易条例的国际机构。主要的功能在于确保贸易流程尽可能顺利、有规律及自由,
War Bond,战争债券,政府发行的债务证券，目的在于在战争时期筹集军费,
Warrant,认股权证,一种衍生工具，给与持有人从发行人以特定价格在特定期间买入证券(一般是股票)的权力,
Warrant Coverage,认股权证比重,公司与股东的协议，规定公司发行相等于股东投资金额若干百分比的认股权证,
Warrant Premium,认股权证溢价,对认股权证相关权力支付的溢价,
Wealth Added Index (WAI),财富增值指数,由Steward Stern & Co 顾问公司设计，用以衡量投资回报高于股东资本成本对财富即时影响的指数,
Wealth Effect,财富效应,财富效应指人们资产越多，消费意欲越强。这个理论的前提为人们的财富及可支配收入会随着股价上升而增加。因此，人们更愿意消费,
Wealth Management,财富管理,结合金融/投资顾问、会计/税务服务以及法律/财产计划，而只收取单一费用的专业服务,
Weighted Average Cost of Capital (WACC),加权平均资本成本,按资本类别的比例计算公司资本成本的方法。加权平均资本成本的计算方法包含所有资金来源，包括普通股、优先股、债券及所有长期债务。公式：WACC=(E/V）×Re+（D/V）×Rd×(1-Tc)，其中，Re = 股本成本，是投资者的必要收益率；Rd = 债务成本，E = 公司股本的市场价值；D = 公司债务的市场价值；V = E + D 是企业的市场价值；E/V = 股本占融资总额的百分比，资本化比率；D/V = 债务占融资总额的百分比，资产负债率。Tc = 企业税率。,
